Dataset,Model,RMSE,MAE
CO2-45,RandomForest,0.7742425193794756,0.31946995893399854
CO2-45,GradientBoosting,0.7893531653176871,0.3299545077952144
CO2-45,KNN,0.5845015646205036,0.30822888711254204
CO2-45,LightGBM,0.7084453961067932,0.334730260149478
CO2-45,ExtraTrees,0.7606071921899369,0.332330736254919
H2O-45,RandomForest,0.5574483190047057,0.306156279121308
H2O-45,GradientBoosting,0.49573312739340675,0.29601461687904135
H2O-45,KNN,0.5524593750055672,0.3189162538693329
H2O-45,LightGBM,0.5387588467121995,0.32540075464707846
H2O-45,ExtraTrees,0.5370660124502081,0.30378736209082
CO2-120,RandomForest,0.8763252466404264,0.33429866193562713
CO2-120,GradientBoosting,0.851135358356717,0.323754306340722
CO2-120,KNN,0.9045106646782396,0.34315596769684786
CO2-120,LightGBM,0.8467256791454005,0.3391436964824353
CO2-120,ExtraTrees,0.8808266692467233,0.33918927003659627
H2O-120,RandomForest,0.7541379124986978,0.29650948244299946
H2O-120,GradientBoosting,0.7595575118549981,0.29452021647108395
H2O-120,KNN,0.8001223137286959,0.3230169228027215
H2O-120,LightGBM,0.7472388818327389,0.29637037394943183
H2O-120,ExtraTrees,0.7675390197050016,0.2972020516163801
Plain-45,RandomForest,0.6095262083369011,0.2987422809116825
Plain-45,GradientBoosting,0.6176227203762836,0.30378454433887303
Plain-45,KNN,0.7967624584864116,0.35420513983425006
Plain-45,LightGBM,0.7691289707316261,0.3222151473012627
Plain-45,ExtraTrees,0.626431500559525,0.30032081681215744
Plain-120,RandomForest,0.8971550909300493,0.3201662297097403
Plain-120,GradientBoosting,1.022476601488477,0.3480379548007667
Plain-120,KNN,1.0662972696802002,0.3741807972993751
Plain-120,LightGBM,0.9814300994917777,0.3526874090663968
Plain-120,ExtraTrees,0.9127368510528874,0.31812438051599007
